# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Mario2.png	68	145	190
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\map1-1_bank.png	255	255	255
40	textures\Tiles.png	255	127	93
50	textures\Tiles.png	127	255	142
60	textures\enemies2.png	0	128	128

#ID	TolRowTile	TolColTile	TolRowMap	TolColMap	TotalTiles	Matrix_path
[MAP]
30	11	11	178	45	117	Map\map1-1.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
# SMALL MARIO
# idle small left
10000	1	16	17	32	0
# walk
10001	19	16	35	32	0
10002	55	16	71	32	0
#jump
10003	37	16	53	32	0
#run
10004	73	16	89	32	0
#long jump
10005	91	16	107	32	0
#brake
10006	109	16	125	32	0
#kick
10007	181	16	197	32	0
#hold shell idle
10008	145	16	161	32	0
#hold shell run
10009	181	16	179	32	0
# BIG MARIO	 
# idle	 
10020	1	88	17	120	0
#walk
10021	19	88	35	120	0
10022	37	88	53	120	0
#jump
10023	73	88	89	120	0
#run 
10024	91	88	115	120	0
10025	117	88	141	120	0
10026	143	88	167	120	0
#long jump
10027	169	88	193	120	0
#brake
10028	195	88	211	120	0
#kick
10029	303	88	327	120	0
#hold shell idle
10030	249	88	265	120	0
#hold shell run
10031	267	88	283	120	0
10032	285	88	301	120	0
#dodge
10033	55	96	71	120	0
#FIRE MARIO
#idle
10040	1	260	17	292	0
#walk
10041	19	260	35	292	0
10042	37	260	53	292	0
#jump
10043	73	260	89	292	0
#run
10044	91	260	115	292	0
10045	117	260	141	292	0
10046	143	260	167	292	0
#long jump
10047	169	260	193	292	0
#brake
10048	195	260	193	292	0
#kick
10049	303	260	327	292	0
#hold shell
10050	249	260	265	292	0
#hold shell run
10051	285	260	327	292	0
10052	303	260	327	292	0
#dodge 
10053	55	268	71	292	0
#RACCOON
#idle
10060	1	346	25	378	0
#walk
10061	27	346	51	378	0
10062	53	346	77	378	0
#jump
10063	105	346	129	378	0
#run
10064	183	346	207	378	0
10065	209	346	233	378	0
10066	235	346	259	378	0
#long jump
10067	261	346	285	378	0
#brake
10068	339	346	355	378	0
#kick
10069	79	380	103	412	0
#hold shell 
10070	1	380	25	412	0
#hold shell run 
10071	27	380	51	412	0
10072	53	380	77	412	0
#dodge
10073	79	354	103	378	0
# die 
10099	307	16	323	32	0

#GOOMBA
30001	5	14	21	29	10
