# MARIO	x	y
0	48.0	90
#HUD
13	0	0

#GROUND	x	y
4	16	128
4	32	128
4	48	128
4	64	128
4	80	128
4	16	128
4	96	128
4	112	128
4	128	128
4	144	128
4	160	128


4	16	144
4	32	144
4	48	144
4	64	144
4	80	144
4	16	144
4	96	144
4	112	144
4	128	144
4	144	144
4	160	144


4	16	160
4	32	160
4	48	160
4	64	160
4	80	160
4	16	160
4	96	160
4	112	160
4	128	160
4	144	160
4	160	160


4	16	176
4	32	176
4	48	176
4	64	176
4	80	176
4	16	176
4	96	176
4	112	176
4	128	176
4	144	176
4	160	176



4	16	192
4	32	192
4	48	192
4	64	192
4	80	192
4	16	192
4	96	192
4	112	192
4	128	192
4	144	192
4	160	192


4	1935	176
4	1952	176
4	1968	176
4	1984	176
4	2000	176
4	2016	176
4	2032	176
4	2048	176

4	1935	192
4	1952	192
4	1968	192
4	1984	192
4	2000	192
4	2016	192
4	2032	192
4	2048	192



4	2048	16
4	2048	32
4	2048	48
4	2048	64
4	2048	80
4	2048	96
4	2048	112
4	2048	128
4	2048	144
4	2048	160


4	2080	192
4	2096	192
4	2112	192
4	2128	192
4	2160	192
4	2176	192
4	2192	192
4	2208	192
4	2224	192
4	2240	192
4	2256	192
4	2288	192
4	2304	192
4	2320	192
4	2336	192
4	2352	192
4	2368	192
4	2384	192
4	2400	192
4	2416	192
4	2432	192
4	2448	192
4	2464	192
4	2480	192
4	2496	192
4	2512	192
4	2528	192
4	2544	192
4	2560	192
4	2576	192

#BLOCK	x	y	w	h
5	1988	144	42	32


#PIPE	x	y	ani_set	type
6	1952	112	50	1
6	1952	128	51	0
6	1952	144	51	0
6	1952	160	51	0

6	2208	160	50	0
6	2208	176	51	0


#? BRICK	x	y	ani_set	type
1	240	128	42	5
1	256	128	42	5
1	272	128	42	5
1	288	128	42	5


1	400	112	42	5
1	416	112	42	5
1	432	112	42	5
1	448	112	42	5
1	464	112	42	5


1	624	64	42	5
1	640	64	42	5
1	656	64	44	2
1	672	64	42	5

1	656	144	42	5
1	672	144	42	5

1	768	96	42	5
1	768	128	42	5
1	768	144	42	5
1	784	144	42	5
1	800	144	42	5
1	816	144	42	5


1	880	112	42	5
1	880	128	42	5
1	880	144	42	5
1	880	160	42	5
1	896	160	42	5
1	912	160	42	5


1	976	112	42	5
1	976	128	42	5
1	992	128	44	4


1	992	176	42	5
1	1008	176	42	5
1	1024	176	42	5
1	1040	176	42	5


1	1040	128	44	1	10
1	1056	128	42	5
1	1072	128	42	5
1	1088	128	42	5
1	1104	128	42	5



1	1184	160	42	5
1	1200	160	42	5
1	1216	160	42	5
1	1232	160	42	5


1	1200	80	42	5
1	1216	80	42	5
1	1232	80	42	5
1	1248	80	42	5
1	1248	64	44	2


1	1280	144	42	5
1	1296	144	42	5

1	1408	80	42	5
1	1424	80	42	5
1	1440	80	42	5

1	1552	64	44	1	10
1	1552	80	42	5


1	1552	144	42	5
1	1552	160	42	5
1	1552	176	42	5
1	1568	176	42	5
1	1584	176	42	5
1	1600	176	42	5


1	1744	64	42	5
1	1744	80	42	5
1	1744	96	42	5

1	1792	144	42	5
1	1808	144	42	5
1	1824	144	42	5



#COIN	x	y	type
9	352	80	2
9	368	80	2
9	384	80	2

9	432	48	2
9	448	48	2
9	464	48	2


9	784	80	2
9	800	80	2
9	816	80	2

9	864	48	2
9	880	48	2
9	896	48	2

9	1344	64	2
9	1360	64	2
9	1376	64	2


9	1520	47	2
9	1520	64	2
9	1520	81	2
9	1520	97	2
9	1520	113	2
9	1520	129	2
9	1520	145	2
9	1520	161	2

9	1904	80	2
9	1920	80	2
9	1936	80	2



#RED_KOOPA	X	Y	SET_TYPE
3	1088	100	0
3	2000	115	0

#RED PARATROOPA
25	1902	80

#PORTAL
50	2461	109

#MOVING PLATTFORM
26	384	98
26	576	128
26	608	80
26	640	176
26	768	112
26	1104	160
26	1216	96
26	1392	128
26	1424	112
26	1568	80
26	1776	112
26	1744	160
26	1792	192


#BOOMERANG_BROTHER
27	2130	160

#MOVING_EDGE
28	16	16	2080
